PARAM,VALUE,REGION,REGION2,DAYTYPE,EMISSION,FUEL,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2000
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2001
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2002
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2003
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2004
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2005
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2006
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2007
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2008
AvailabilityFactor,0.53,Simple,,,,,,,,,,STA,2009
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2000
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2001
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2002
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2003
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2004
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2005
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2006
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2007
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2008
AvailabilityFactor,0.53,Simple,,,,,,,,,,STB,2009
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2000
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2001
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2002
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2003
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2004
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2005
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2006
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2007
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2008
AvailabilityFactor,0.53,Simple,,,,,,,,,,STC,2009
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2000
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2001
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2002
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2003
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2004
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2005
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2006
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2007
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2008
CapitalCost,0.05,Simple,,,,,,,,,,HE1,2009
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2000
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2001
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2002
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2003
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2004
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2005
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2006
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2007
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2008
CapitalCost,0.05,Simple,,,,,,,,,,HE2,2009
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2000
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2001
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2002
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2003
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2004
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2005
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2006
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2007
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2008
CapitalCost,0.015000,Simple,,,,,,,,,,HE3,2009
CapitalCost,120,Simple,,,,,,,,,,HP1,2000
CapitalCost,120,Simple,,,,,,,,,,HP1,2001
CapitalCost,120,Simple,,,,,,,,,,HP1,2002
CapitalCost,120,Simple,,,,,,,,,,HP1,2003
CapitalCost,120,Simple,,,,,,,,,,HP1,2004
CapitalCost,120,Simple,,,,,,,,,,HP1,2005
CapitalCost,120,Simple,,,,,,,,,,HP1,2006
CapitalCost,120,Simple,,,,,,,,,,HP1,2007
CapitalCost,120,Simple,,,,,,,,,,HP1,2008
CapitalCost,120,Simple,,,,,,,,,,HP1,2009
CapitalCost,120,Simple,,,,,,,,,,HP2,2000
CapitalCost,120,Simple,,,,,,,,,,HP2,2001
CapitalCost,120,Simple,,,,,,,,,,HP2,2002
CapitalCost,120,Simple,,,,,,,,,,HP2,2003
CapitalCost,120,Simple,,,,,,,,,,HP2,2004
CapitalCost,120,Simple,,,,,,,,,,HP2,2005
CapitalCost,120,Simple,,,,,,,,,,HP2,2006
CapitalCost,120,Simple,,,,,,,,,,HP2,2007
CapitalCost,120,Simple,,,,,,,,,,HP2,2008
CapitalCost,120,Simple,,,,,,,,,,HP2,2009
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2000
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2001
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2002
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2003
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2004
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2005
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2006
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2007
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2008
CapitalCost,65.061093,Simple,,,,,,,,,,DHN,2009
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2000
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2001
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2002
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2003
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2004
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2005
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2006
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2007
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2008
CapitalCost,911.974623,Simple,,,,,,,,,,STA,2009
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2000
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2001
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2002
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2003
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2004
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2005
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2006
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2007
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2008
CapitalCost,0.015000,Simple,,,,,,,,,,HEA,2009
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2000
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2001
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2002
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2003
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2004
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2005
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2006
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2007
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2008
CapitalCost,911.974623,Simple,,,,,,,,,,STB,2009
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2000
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2001
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2002
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2003
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2004
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2005
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2006
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2007
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2008
CapitalCost,0.015000,Simple,,,,,,,,,,HEB,2009
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2000
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2001
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2002
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2003
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2004
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2005
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2006
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2007
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2008
CapitalCost,911.974623,Simple,,,,,,,,,,STC,2009
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2000
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2001
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2002
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2003
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2004
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2005
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2006
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2007
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2008
CapitalCost,0.015000,Simple,,,,,,,,,,HEC,2009
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2000
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2001
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2002
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2003
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2004
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2005
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2006
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2007
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2008
CapitalCost,83,Simple,,,,,,,,,,WHRB1,2009
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2000
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2001
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2002
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2003
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2004
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2005
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2006
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2007
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2008
CapitalCost,83,Simple,,,,,,,,,,WHRB2,2009
CapitalCost,999999,Simple,,,,,,,,,,BS1,2000
CapitalCost,999999,Simple,,,,,,,,,,BS1,2001
CapitalCost,999999,Simple,,,,,,,,,,BS1,2002
CapitalCost,999999,Simple,,,,,,,,,,BS1,2003
CapitalCost,999999,Simple,,,,,,,,,,BS1,2004
CapitalCost,999999,Simple,,,,,,,,,,BS1,2005
CapitalCost,999999,Simple,,,,,,,,,,BS1,2006
CapitalCost,999999,Simple,,,,,,,,,,BS1,2007
CapitalCost,999999,Simple,,,,,,,,,,BS1,2008
CapitalCost,999999,Simple,,,,,,,,,,BS1,2009
CapitalCost,999999,Simple,,,,,,,,,,BS2,2000
CapitalCost,999999,Simple,,,,,,,,,,BS2,2001
CapitalCost,999999,Simple,,,,,,,,,,BS2,2002
CapitalCost,999999,Simple,,,,,,,,,,BS2,2003
CapitalCost,999999,Simple,,,,,,,,,,BS2,2004
CapitalCost,999999,Simple,,,,,,,,,,BS2,2005
CapitalCost,999999,Simple,,,,,,,,,,BS2,2006
CapitalCost,999999,Simple,,,,,,,,,,BS2,2007
CapitalCost,999999,Simple,,,,,,,,,,BS2,2008
CapitalCost,999999,Simple,,,,,,,,,,BS2,2009
CapitalCost,999999,Simple,,,,,,,,,,BS3,2000
CapitalCost,999999,Simple,,,,,,,,,,BS3,2001
CapitalCost,999999,Simple,,,,,,,,,,BS3,2002
CapitalCost,999999,Simple,,,,,,,,,,BS3,2003
CapitalCost,999999,Simple,,,,,,,,,,BS3,2004
CapitalCost,999999,Simple,,,,,,,,,,BS3,2005
CapitalCost,999999,Simple,,,,,,,,,,BS3,2006
CapitalCost,999999,Simple,,,,,,,,,,BS3,2007
CapitalCost,999999,Simple,,,,,,,,,,BS3,2008
